date,bank_name,close_price
10/24/2022,Citi,44.41
10/24/2022,JPM,122.38
10/24/2022,BAC,35.07
10/24/2022,WFC,45.200001
10/25/2022,Citi,45.32
10/25/2022,JPM,122.7
10/25/2022,BAC,35.389999
10/25/2022,WFC,45.369999
10/26/2022,Citi,45.41
10/26/2022,JPM,124.11
10/26/2022,BAC,35.700001
10/26/2022,WFC,45.700001
10/27/2022,Citi,45.439999
10/27/2022,JPM,124.6
10/27/2022,BAC,35.869999
10/27/2022,WFC,45.650002
10/28/2022,Citi,46.130001
10/28/2022,JPM,126.08
10/28/2022,BAC,36.18
10/28/2022,WFC,46.349998
10/31/2022,Citi,45.860001
10/31/2022,JPM,125.88
10/31/2022,BAC,36.040001
10/31/2022,WFC,45.990002
11/1/2022,Citi,46.220001
11/1/2022,JPM,128.14999
11/1/2022,BAC,36.200001
11/1/2022,WFC,46.950001
11/2/2022,Citi,45.549999
11/2/2022,JPM,126.97
11/2/2022,BAC,36.09
11/2/2022,WFC,46.880001
11/3/2022,Citi,44.580002
11/3/2022,JPM,127.2
11/3/2022,BAC,35.889999
11/3/2022,WFC,45.540001
11/4/2022,Citi,45.130001
11/4/2022,JPM,130.67999
11/4/2022,BAC,36.790001
11/4/2022,WFC,46.740002
11/7/2022,Citi,45.73
11/7/2022,JPM,131.37
11/7/2022,BAC,37.009998
11/7/2022,WFC,47.07
11/8/2022,Citi,46.119999
11/8/2022,JPM,131.45
11/8/2022,BAC,37.110001
11/8/2022,WFC,47.18
11/9/2022,Citi,45.360001
11/9/2022,JPM,129.74001
11/9/2022,BAC,36.52
11/9/2022,WFC,45.970001
11/10/2022,Citi,48.419998
11/10/2022,JPM,135.08
11/10/2022,BAC,38.130001
11/10/2022,WFC,47.950001
11/11/2022,Citi,50.189999
11/11/2022,JPM,135.3
11/11/2022,BAC,38.41
11/11/2022,WFC,47.549999
11/14/2022,Citi,49.02
11/14/2022,JPM,133.91
11/14/2022,BAC,37.759998
11/14/2022,WFC,46.869999
11/15/2022,Citi,49.029999
11/15/2022,JPM,132.94
11/15/2022,BAC,37.700001
11/15/2022,WFC,46.709999
11/16/2022,Citi,48.369999
11/16/2022,JPM,133.12
11/16/2022,BAC,37.360001
11/16/2022,WFC,46.209999
11/17/2022,Citi,48.25
11/17/2022,JPM,132.53999
11/17/2022,BAC,37.169998
11/17/2022,WFC,45.990002
11/18/2022,Citi,48.66
11/18/2022,JPM,133.84
11/18/2022,BAC,37.189999
11/18/2022,WFC,46.5
11/21/2022,Citi,48.880001
11/21/2022,JPM,133.05
11/21/2022,BAC,37.310001
11/21/2022,WFC,46.84
11/22/2022,Citi,49.330002
11/22/2022,JPM,135.03999
11/22/2022,BAC,37.490002
11/22/2022,WFC,47.110001
11/23/2022,Citi,48.240002
11/23/2022,JPM,136.48
11/23/2022,BAC,37.610001
11/23/2022,WFC,47.330002
11/25/2022,Citi,48.290001
11/25/2022,JPM,136.74001
11/25/2022,BAC,37.700001
11/25/2022,WFC,47.439999
11/28/2022,Citi,47.23
11/28/2022,JPM,134.35001
11/28/2022,BAC,36.860001
11/28/2022,WFC,46.98
11/29/2022,Citi,47.57
11/29/2022,JPM,136.56
11/29/2022,BAC,37
11/29/2022,WFC,47.57
11/30/2022,Citi,48.41
11/30/2022,JPM,138.17999
11/30/2022,BAC,37.849998
11/30/2022,WFC,47.950001
12/1/2022,Citi,47.779999
12/1/2022,JPM,136.24001
12/1/2022,BAC,36.549999
12/1/2022,WFC,46.869999
12/2/2022,Citi,47.240002
12/2/2022,JPM,135.16
12/2/2022,BAC,36.080002
12/2/2022,WFC,45.939999
12/5/2022,Citi,45.639999
12/5/2022,JPM,131.37
12/5/2022,BAC,34.470001
12/5/2022,WFC,43.66
12/6/2022,Citi,44.98
12/6/2022,JPM,131.59
12/6/2022,BAC,33
12/6/2022,WFC,43.400002
12/7/2022,Citi,44.669998
12/7/2022,JPM,131.5
12/7/2022,BAC,32.740002
12/7/2022,WFC,42.450001
12/8/2022,Citi,44.689999
12/8/2022,JPM,132.88
12/8/2022,BAC,32.439999
12/8/2022,WFC,42.580002
12/9/2022,Citi,44.860001
12/9/2022,JPM,132.16
12/9/2022,BAC,32.380001
12/9/2022,WFC,42.5
12/12/2022,Citi,45.77
12/12/2022,JPM,134.21001
12/12/2022,BAC,32.73
12/12/2022,WFC,42.860001
12/13/2022,Citi,46.59
12/13/2022,JPM,134.08
12/13/2022,BAC,32.75
12/13/2022,WFC,42.619999
12/14/2022,Citi,45.98
12/14/2022,JPM,133.41
12/14/2022,BAC,32.279999
12/14/2022,WFC,42.18
12/15/2022,Citi,44.619999
12/15/2022,JPM,130.10001
12/15/2022,BAC,31.77
12/15/2022,WFC,41.369999
12/16/2022,Citi,44.349998
12/16/2022,JPM,129.28999
12/16/2022,BAC,31.700001
12/16/2022,WFC,41.189999
12/19/2022,Citi,43.93
12/19/2022,JPM,130.06
12/19/2022,BAC,32.060001
12/19/2022,WFC,41.82
12/20/2022,Citi,43.810001
12/20/2022,JPM,130.69
12/20/2022,BAC,32.189999
12/20/2022,WFC,40.98
12/21/2022,Citi,44.810001
12/21/2022,JPM,132.16
12/21/2022,BAC,32.68
12/21/2022,WFC,41.119999
12/22/2022,Citi,43.990002
12/22/2022,JPM,130.66
12/22/2022,BAC,32.389999
12/22/2022,WFC,40.68
12/23/2022,Citi,44.259998
12/23/2022,JPM,131.28
12/23/2022,BAC,32.470001
12/23/2022,WFC,40.98
12/27/2022,Citi,44.389999
12/27/2022,JPM,131.74001
12/27/2022,BAC,32.529999
12/27/2022,WFC,41.040001
